Kilometros,Tipo Combustible,Marca,Modelo,Edicion,Año,Color,Tipo de Vehiculo,Estatus de Vehiculo,Precio,Numero de Puertas
274913,GLP,Ford,F150,Touring,2009,Blanco,Camioneta,Usado,7280,2
10658,Gasolina,Hyundai,Elantra,Sport,2018,Negro,SUV,Usado,20800,4
168110,Gasolina,Hyundai,Elantra,Standard,2009,Negro,Coupe,Usado,5600,4
71547,Hibrido,Nissan,Altima,Sport,2005,Verde,Compacto,Usado,6048,2
24675,Gasolina,Hyundai,Elantra,Sport,2016,Verde,Camioneta,Usado,20800,4
100288,Gasolina,Hyundai,Elantra,Sport,2022,Blanco,Camioneta,Usado,17472,2
39525,GLP,Ford,F150,Limited,2001,Gris,Camioneta,Usado,10400,4
172835,Gasolina,Toyota,Corolla,Touring,2004,Verde,Sedan,Usado,5600,2
29007,Hibrido,Toyota,Corolla,Touring,2004,Negro,SUV,Usado,12480,2
147943,GLP,Chevrolet,Cruze,Sport,2014,Rojo,Sedan,Usado,11200,4
65004,Gasolina,Ford,F150,Touring,2013,Azul,Camioneta,Usado,7280,4
207646,Hibrido,Toyota,Corolla,Sport,2002,Azul,Compacto,Usado,6048,4
131361,Gasolina,Nissan,Altima,Limited,2014,Negro,Sedan,Usado,11200,4
284435,Hibrido,Toyota,Corolla,Touring,2006,Negro,Coupe,Usado,6720,2
195233,GLP,Chevrolet,Cruze,Limited,2011,Negro,Sedan,Usado,5600,4
97211,Gasolina,Toyota,Corolla,Deluxe,2008,Azul,Camioneta,Usado,7280,4
134561,Gasolina,Chevrolet,Cruze,Limited,2000,Rojo,Sedan,Usado,5600,2
179747,Gasolina,Honda,Civic,Sport,2020,Azul,Compacto,Usado,10080,3
280931,Hibrido,Nissan,Altima,Sport,2004,Negro,Compacto,Usado,6048,4
42973,Gasolina,Honda,Civic,Limited,2021,Verde,Compacto,Usado,14400,4
228385,Gasolina,Honda,Civic,Standard,2024,Rojo,Compacto,Usado,12096,4
135222,Hibrido,Nissan,Altima,Deluxe,2010,Azul,Sedan,Usado,6720,4
193855,Gasolina,Ford,F150,Limited,2020,Rojo,Camioneta,Usado,14560,2
254746,Hibrido,Toyota,Corolla,Touring,2003,Negro,Camioneta,Usado,8736,4
50708,Gasolina,Honda,Civic,Sport,2016,Gris,Sedan,Usado,11200,2
66593,Electrico,BMW,X5,Sport,2006,Negro,SUV,Usado,10920,2
230855,Gasolina,Chevrolet,Cruze,Standard,2018,Rojo,Sedan,Usado,11200,2
267179,Gasolina,Honda,Civic,Limited,2017,Azul,SUV,Usado,14560,2
28894,Hibrido,Honda,Civic,Limited,2000,Rojo,Sedan,Usado,9600,4
223104,GLP,Ford,F150,Deluxe,2005,Rojo,Coupe,Usado,5600,4
256213,Hibrido,Honda,Civic,Sport,2020,Blanco,Compacto,Usado,12096,2
118139,Gasolina,Nissan,Altima,Touring,2018,Verde,Coupe,Usado,11200,2
178641,Electrico,BMW,X5,Touring,2003,Blanco,Coupe,Usado,8400,2
216325,GLP,Chevrolet,Cruze,Touring,2014,Rojo,SUV,Usado,14560,4
3236,Electrico,BMW,X5,Limited,2016,Verde,Coupe,Usado,31200,2
2821,Gasolina,BMW,X5,Standard,2023,Gris,Coupe,Usado,24960,4
5309,GLP,Ford,F150,Deluxe,2004,Negro,Camioneta,Usado,13520,4
280243,Hibrido,Nissan,Altima,Deluxe,2020,Verde,Coupe,Usado,13440,2
226536,Gasolina,BMW,X5,Sport,2010,Negro,Compacto,Usado,5040,4
133843,Gasolina,Hyundai,Elantra,Standard,2014,Rojo,SUV,Usado,14560,4
155215,Electrico,BMW,X5,Deluxe,2022,Verde,SUV,Usado,26208,4
247766,Hibrido,Honda,Civic,Sport,2003,Verde,Compacto,Usado,6048,4
69387,Hibrido,Honda,Civic,Sport,2005,Azul,Sedan,Usado,6720,2
37134,Gasolina,Hyundai,Elantra,Sport,2023,Azul,Camioneta,Usado,24960,4
122322,Hibrido,Toyota,Corolla,Deluxe,2006,Azul,Coupe,Usado,6720,2
214906,Gasolina,Chevrolet,Cruze,Deluxe,2013,Negro,Compacto,Usado,5040,2
16067,Gasolina,BMW,X5,Deluxe,2017,Rojo,SUV,Usado,20800,4
176200,Hibrido,Toyota,Corolla,Touring,2023,Verde,SUV,Usado,20966,4
253411,Gasolina,Hyundai,Elantra,Deluxe,2000,Azul,Coupe,Usado,5600,4
272563,GLP,Chevrolet,Cruze,Touring,2010,Azul,Camioneta,Usado,7280,2
142907,GLP,Chevrolet,Cruze,Limited,2007,Verde,Sedan,Usado,5600,4
146755,Hibrido,Nissan,Altima,Limited,2006,Gris,Compacto,Usado,6048,4
143805,Gasolina,Nissan,Altima,Sport,2009,Blanco,SUV,Usado,7280,6
63943,Hibrido,Toyota,Corolla,Standard,2007,Gris,Camioneta,Usado,8736,4
69287,Hibrido,Toyota,Corolla,Standard,2004,Rojo,Camioneta,Usado,8736,4
122677,GLP,Ford,F150,Touring,2007,Azul,Compacto,Usado,5040,4
246042,Gasolina,Honda,Civic,Deluxe,2002,Negro,Coupe,Usado,5600,4
154972,GLP,Ford,F150,Standard,2016,Gris,SUV,Usado,14560,2
165388,Hibrido,Honda,Civic,Standard,2017,Negro,Sedan,Usado,13440,2
214874,Gasolina,Honda,Civic,Sport,2005,Blanco,Compacto,Usado,5040,4
82120,GLP,Ford,F150,Touring,2024,Rojo,Compacto,Usado,12096,4
227938,Hibrido,Toyota,Corolla,Limited,2018,Rojo,Sedan,Usado,13440,4
221362,Gasolina,Nissan,Altima,Deluxe,2008,Verde,Camioneta,Usado,7280,2
175246,Gas,Hyundai,Elantra,Sport,2024,Negro,Camioneta,Usado,14851,4
91054,Hibrido,Honda,Civic,Touring,2002,Rojo,Camioneta,Usado,8736,4
42442,Gasolina,Honda,Civic,Standard,2002,Verde,Compacto,Usado,7200,2
54684,Electrico,BMW,X5,Limited,2005,Negro,Compacto,Usado,7560,4
33377,Gasolina,Nissan,Altima,Sport,2016,Negro,Compacto,Usado,14400,2
298524,Hibrido,Nissan,Altima,Touring,2011,Negro,Camioneta,Usado,8736,2
17206,Gas,Hyundai,Elantra,Touring,2015,Negro,Coupe,Usado,13600,4
66769,Hibrido,Honda,Civic,Sport,2019,Negro,SUV,Usado,17472,4
213649,GLP,Ford,F150,Deluxe,2017,Verde,Sedan,Usado,11200,4
297241,Gas,Hyundai,Elantra,Standard,2013,Verde,Sedan,Usado,4760,2
170843,Hibrido,Toyota,Corolla,Limited,2006,Rojo,SUV,Usado,8736,2
156109,Gasolina,Hyundai,Elantra,Sport,2015,Verde,Camioneta,Usado,14560,2
290315,GLP,Chevrolet,Cruze,Standard,2016,Gris,Compacto,Usado,10080,2
181655,Gas,Hyundai,Elantra,Sport,2007,Azul,Coupe,Usado,4760,4
265782,Gasolina,Ford,F150,Touring,2012,Gris,Compacto,Usado,5040,2
297204,Gasolina,Hyundai,Elantra,Deluxe,2008,Azul,Camioneta,Usado,7280,4
200697,GLP,Ford,F150,Sport,2022,Rojo,Sedan,Usado,13440,4
199011,Gasolina,Toyota,Corolla,Standard,2005,Verde,Camioneta,Usado,7280,4
49847,Hibrido,Nissan,Altima,Touring,2003,Verde,Compacto,Usado,8640,4
197924,Gasolina,Chevrolet,Cruze,Limited,2013,Azul,Sedan,Usado,5600,4
262011,Hibrido,Honda,Civic,Sport,2006,Azul,Sedan,Usado,6720,2
14910,Gasolina,Hyundai,Elantra,Touring,2004,Gris,Sedan,Usado,8000,4
285993,Gasolina,Chevrolet,Cruze,Standard,2023,Verde,Compacto,Usado,12096,4
159276,Hibrido,Honda,Civic,Standard,2019,Azul,Sedan,Usado,13440,4
142096,Gasolina,Chevrolet,Cruze,Standard,2002,Azul,Camioneta,Usado,7280,4
256376,Gasolina,Toyota,Corolla,Deluxe,2012,Blanco,Compacto,Usado,5040,4
38515,Hibrido,Honda,Civic,Limited,2006,Gris,Compacto,Usado,8640,4
31360,Gasolina,Toyota,Corolla,Touring,2023,Negro,Camioneta,Usado,24960,2
271772,Gasolina,Nissan,Altima,Touring,2001,Azul,Camioneta,Usado,7280,4
57675,Gasolina,BMW,X5,Deluxe,2006,Verde,Sedan,Usado,5600,2
48873,GLP,Chevrolet,Cruze,Limited,2015,Gris,Compacto,Usado,14400,2
23715,Gasolina,Toyota,Corolla,Deluxe,2019,Azul,SUV,Usado,20800,4
178287,Gasolina,Nissan,Altima,Touring,2006,Negro,Compacto,Usado,5040,4
280811,Electrico,BMW,X5,Sport,2023,Blanco,Compacto,Usado,18144,4
186659,Gasolina,Ford,F150,Deluxe,2019,Negro,Coupe,Usado,11200,2
292509,Gasolina,Hyundai,Elantra,Limited,2019,Verde,SUV,Usado,14560,4
209538,Hibrido,Toyota,Corolla,Touring,2005,Azul,Camioneta,Usado,8736,2
232966,Gasolina,BMW,X5,Limited,2012,Verde,SUV,Usado,7280,4
283647,Electrico,BMW,X5,Limited,2006,Rojo,SUV,Usado,10920,2
72030,Hibrido,Honda,Civic,Standard,2002,Verde,Compacto,Usado,6048,4
66938,Electrico,BMW,X5,Deluxe,2005,Gris,Camioneta,Usado,10920,4
185610,Hibrido,Toyota,Corolla,Limited,2018,Gris,Coupe,Usado,13440,2
94590,Gasolina,Honda,Civic,Touring,2013,Rojo,Coupe,Usado,5600,4
205885,Gasolina,Nissan,Altima,Deluxe,2002,Gris,Sedan,Usado,5600,1
173619,Gasolina,Toyota,Corolla,Sport,2006,Azul,Sedan,Usado,5600,4
33615,Gasolina,Ford,F150,Sport,2010,Negro,Coupe,Usado,8000,4
111143,Gasolina,Chevrolet,Cruze,Touring,2008,Blanco,Compacto,Usado,5040,4
4271,GLP,Ford,F150,Deluxe,2018,Gris,Sedan,Usado,20800,4
66542,Hibrido,Honda,Civic,Deluxe,2022,Blanco,Compacto,Usado,14515,2
196210,GLP,Ford,F150,Limited,2003,Gris,SUV,Usado,7280,2
106655,Gas,Hyundai,Elantra,Sport,2017,Azul,Compacto,Usado,8568,2
34243,Gasolina,BMW,X5,Touring,2011,Negro,Compacto,Usado,7200,4
228844,Gasolina,Chevrolet,Cruze,Touring,2012,Gris,Coupe,Usado,5600,2
256150,Gasolina,Toyota,Corolla,Touring,2008,Negro,Camioneta,Usado,7280,4
273406,Gasolina,Honda,Civic,Standard,2002,Negro,Camioneta,Usado,7280,4
146119,Electrico,BMW,X5,Standard,2023,Gris,Sedan,Usado,20160,2
116727,GLP,Chevrolet,Cruze,Limited,2003,Rojo,Sedan,Usado,5600,2
199516,Hibrido,Toyota,Corolla,Touring,2015,Negro,Camioneta,Usado,17472,4
221682,Gasolina,Nissan,Altima,Limited,2007,Negro,Sedan,Usado,5600,2
73397,Gasolina,Chevrolet,Cruze,Touring,2023,Gris,Sedan,Usado,13440,4
101250,Hibrido,Honda,Civic,Touring,2008,Azul,Camioneta,Usado,8736,2
184553,Gas,Hyundai,Elantra,Standard,2004,Negro,SUV,Usado,6188,4
280352,Hibrido,Honda,Civic,Standard,2001,Blanco,Coupe,Usado,6720,2
133764,Gasolina,Honda,Civic,Sport,2004,Verde,Sedan,Usado,5600,2
216304,Gasolina,Hyundai,Elantra,Sport,2006,Azul,Coupe,Usado,5600,4
209371,GLP,Ford,F150,Touring,2016,Blanco,Coupe,Usado,11200,4
195953,Gasolina,Ford,F150,Sport,2001,Gris,Compacto,Usado,5040,2
179169,Gas,Hyundai,Elantra,Standard,2010,Blanco,Camioneta,Usado,6188,2
230029,Hibrido,Nissan,Altima,Touring,2006,Azul,Compacto,Usado,6048,2
224048,Hibrido,Toyota,Corolla,Deluxe,2013,Azul,Coupe,Usado,6720,2
91,Gasolina,Nissan,Altima,Touring,2007,Gris,Compacto,Nuevo,9360,4
32947,Gasolina,Nissan,Altima,Deluxe,2014,Blanco,SUV,Usado,20800,4
124421,GLP,Chevrolet,Cruze,Standard,2021,Azul,Compacto,Usado,10080,2
116489,Hibrido,Honda,Civic,Limited,2022,Negro,Sedan,Usado,16128,4
187921,Gasolina,BMW,X5,Touring,2019,Verde,Compacto,Usado,10080,4
76514,Hibrido,Honda,Civic,Limited,2023,Rojo,Sedan,Usado,16128,4
298765,GLP,Chevrolet,Cruze,Standard,2019,Rojo,Camioneta,Usado,14560,4
102014,Gasolina,Toyota,Corolla,Sport,2016,Azul,Sedan,Usado,11200,4
11737,GLP,Ford,F150,Standard,2009,Blanco,Coupe,Usado,8000,4
282978,Hibrido,Honda,Civic,Standard,2024,Azul,Compacto,Usado,14515,2
144614,Hibrido,Toyota,Corolla,Sport,2019,Blanco,Coupe,Usado,13440,2
137133,Gasolina,Ford,F150,Sport,2022,Verde,Sedan,Usado,13440,2
105707,Gasolina,Ford,F150,Sport,2006,Verde,Camioneta,Usado,7280,2
18999,Gasolina,BMW,X5,Standard,2020,Verde,Sedan,Usado,16000,2
242489,GLP,Chevrolet,Cruze,Sport,2012,Gris,Sedan,Usado,5600,4
150095,Gasolina,Nissan,Altima,Touring,2016,Verde,Compacto,Usado,10080,2
101468,Gasolina,Chevrolet,Cruze,Limited,2011,Negro,SUV,Usado,7280,2
257812,Hibrido,Nissan,Altima,Limited,2004,Rojo,SUV,Usado,8736,4
263499,Gasolina,Ford,F150,Standard,2023,Negro,Camioneta,Usado,17472,4
197606,Gas,Hyundai,Elantra,Sport,2021,Azul,Sedan,Usado,9520,6
98995,Electrico,BMW,X5,Limited,2012,Blanco,Compacto,Usado,7560,4
208725,Electrico,BMW,X5,Deluxe,2012,Gris,Sedan,Usado,8400,4
96407,Gasolina,Chevrolet,Cruze,Standard,2017,Azul,Compacto,Usado,10080,4
234094,Gasolina,Toyota,Corolla,Deluxe,2019,Azul,Coupe,Usado,11200,4
117710,Gasolina,BMW,X5,Standard,2005,Blanco,Camioneta,Usado,7280,2
121586,Hibrido,Toyota,Corolla,Standard,2003,Azul,Camioneta,Usado,8736,2
191715,Electrico,BMW,X5,Standard,2014,Verde,Compacto,Usado,15120,2
1170,Gasolina,Chevrolet,Cruze,Sport,2004,Blanco,Sedan,Usado,10400,4
158275,GLP,Chevrolet,Cruze,Sport,2009,Verde,Camioneta,Usado,7280,4
206487,Gasolina,Chevrolet,Cruze,Sport,2017,Gris,Coupe,Usado,11200,4
7276,Hibrido,Nissan,Altima,Touring,2012,Blanco,Coupe,Usado,12480,2
182790,Gasolina,Toyota,Corolla,Deluxe,2017,Verde,Coupe,Usado,11200,2
20533,GLP,Ford,F150,Touring,2008,Negro,Camioneta,Usado,10400,4
20642,Hibrido,Toyota,Corolla,Limited,2019,Negro,Coupe,Usado,19200,4
13497,GLP,Ford,F150,Touring,2011,Negro,Camioneta,Usado,10400,2
219785,Gasolina,BMW,X5,Touring,2019,Rojo,Sedan,Usado,11200,4
75330,Gasolina,Hyundai,Elantra,Touring,2011,Blanco,Compacto,Usado,5040,4
159735,Gasolina,Toyota,Corolla,Standard,2021,Gris,Coupe,Usado,11200,4
175058,Hibrido,Nissan,Altima,Deluxe,2019,Azul,Coupe,Usado,13440,2
172059,GLP,Chevrolet,Cruze,Deluxe,2013,Azul,Sedan,Usado,5600,2
254902,Gasolina,Toyota,Corolla,Sport,2012,Blanco,Sedan,Usado,5600,4
50375,Hibrido,Nissan,Altima,Sport,2023,Blanco,SUV,Usado,20966,2
35152,Gasolina,Hyundai,Elantra,Limited,2015,Gris,Compacto,Usado,14400,4
224955,Gas,Hyundai,Elantra,Standard,2000,Verde,Sedan,Usado,4760,2
1392,GLP,Chevrolet,Cruze,Touring,2004,Verde,Sedan,Usado,10400,2
167999,GLP,Chevrolet,Cruze,Standard,2013,Verde,SUV,Usado,7280,2
89393,Gasolina,Toyota,Corolla,Touring,2019,Verde,Compacto,Usado,10080,2
68776,GLP,Chevrolet,Cruze,Standard,2020,Blanco,Sedan,Usado,11200,4
295672,Gasolina,Honda,Civic,Sport,2017,Blanco,Camioneta,Usado,14560,4
220266,Gasolina,Ford,F150,Limited,2007,Negro,Sedan,Usado,5600,4
257788,Electrico,BMW,X5,Standard,2007,Azul,Sedan,Usado,8400,4
215216,Gas,Hyundai,Elantra,Deluxe,2020,Blanco,SUV,Usado,12376,2
94382,Hibrido,Honda,Civic,Limited,2009,Gris,Compacto,Usado,6048,2
69059,Hibrido,Honda,Civic,Deluxe,2010,Gris,Camioneta,Usado,8736,2
161182,Hibrido,Nissan,Altima,Standard,2000,Verde,Compacto,Usado,6048,2
143741,Hibrido,Honda,Civic,Standard,2009,Negro,Sedan,Usado,6720,2
161071,Gasolina,Ford,F150,Deluxe,2009,Rojo,Compacto,Usado,5040,4
97410,GLP,Ford,F150,Deluxe,2018,Rojo,SUV,Usado,14560,4
165513,Hibrido,Toyota,Corolla,Deluxe,2009,Negro,Camioneta,Usado,8736,2
102640,Gas,Hyundai,Elantra,Standard,2022,Azul,SUV,Usado,14851,4
82160,Hibrido,Nissan,Altima,Sport,2001,Blanco,Camioneta,Usado,8736,4
61035,GLP,Chevrolet,Cruze,Sport,2023,Blanco,Camioneta,Usado,17472,4
283367,GLP,Chevrolet,Cruze,Deluxe,2012,Rojo,Coupe,Usado,5600,2
284774,Gasolina,BMW,X5,Sport,2006,Azul,SUV,Usado,7280,2
64151,Hibrido,Honda,Civic,Standard,2003,Blanco,Compacto,Usado,6048,2
141211,Gasolina,Ford,F150,Standard,2005,Verde,Camioneta,Usado,7280,4
175564,GLP,Chevrolet,Cruze,Standard,2000,Rojo,Compacto,Usado,5040,4
294215,GLP,Ford,F150,Sport,2014,Gris,SUV,Usado,14560,2
201764,Gasolina,Honda,Civic,Deluxe,2008,Negro,Coupe,Usado,5600,4
298955,Gasolina,Chevrolet,Cruze,Sport,2016,Gris,Camioneta,Usado,14560,4
50749,Gasolina,BMW,X5,Sport,2016,Verde,Camioneta,Usado,14560,4
117059,GLP,Ford,F150,Deluxe,2004,Rojo,Compacto,Usado,5040,2
170487,Gasolina,Nissan,Altima,Touring,2016,Azul,Sedan,Usado,11200,2
29406,GLP,Chevrolet,Cruze,Deluxe,2005,Verde,SUV,Usado,10400,4
261412,GLP,Ford,F150,Touring,2016,Rojo,Sedan,Usado,11200,4
227938,Gasolina,Nissan,Altima,Limited,2019,Gris,Coupe,Usado,11200,2
210055,Gasolina,Chevrolet,Cruze,Standard,2003,Azul,Coupe,Usado,5600,2
258583,Gas,Hyundai,Elantra,Deluxe,2007,Gris,Compacto,Usado,4284,4
182942,Gasolina,Honda,Civic,Standard,2024,Azul,Camioneta,Usado,17472,2
254748,Hibrido,Honda,Civic,Sport,2000,Verde,Camioneta,Usado,8736,4
94147,Gasolina,Toyota,Corolla,Sport,2022,Verde,Compacto,Usado,12096,4
245162,Gasolina,Chevrolet,Cruze,Sport,2020,Gris,Camioneta,Usado,14560,2
122889,Gasolina,BMW,X5,Sport,2002,Rojo,Sedan,Usado,5600,2
160528,Gas,Hyundai,Elantra,Deluxe,2007,Azul,Camioneta,Usado,6188,2
197645,GLP,Chevrolet,Cruze,Standard,2002,Blanco,Compacto,Usado,5040,2
254505,Hibrido,Toyota,Corolla,Limited,2007,Gris,SUV,Usado,8736,2
197018,Gasolina,BMW,X5,Standard,2015,Negro,Compacto,Usado,10080,4
278147,Electrico,BMW,X5,Limited,2018,Azul,SUV,Usado,21840,2
23966,GLP,Ford,F150,Deluxe,2009,Rojo,Sedan,Usado,8000,2
62716,Hibrido,Nissan,Altima,Touring,2001,Verde,SUV,Usado,8736,2
16735,Gasolina,Chevrolet,Cruze,Touring,2015,Negro,Coupe,Usado,16000,2
7578,Gasolina,Nissan,Altima,Limited,2002,Azul,Sedan,Usado,10400,2
295343,Gasolina,Ford,F150,Deluxe,2022,Blanco,Compacto,Usado,12096,2
284764,Gasolina,BMW,X5,Limited,2008,Negro,Coupe,Usado,5600,2
277440,Gasolina,BMW,X5,Deluxe,2007,Verde,Sedan,Usado,5600,2
124550,Gas,Hyundai,Elantra,Touring,2012,Blanco,Camioneta,Usado,6188,4
277961,Gasolina,Ford,F150,Limited,2007,Blanco,Sedan,Usado,5600,2
92926,Gasolina,Ford,F150,Deluxe,2000,Azul,Compacto,Usado,5040,2
153944,Gasolina,Nissan,Altima,Deluxe,2024,Gris,Compacto,Usado,12096,4
250161,Gasolina,Honda,Civic,Standard,2022,Gris,Camioneta,Usado,17472,2
291902,Gasolina,Nissan,Altima,Limited,2009,Gris,SUV,Usado,7280,4
236367,Gasolina,Honda,Civic,Sport,2017,Blanco,Compacto,Usado,10080,2
108730,Gasolina,Chevrolet,Cruze,Deluxe,2006,Gris,Camioneta,Usado,7280,4
159718,Gasolina,Honda,Civic,Deluxe,2001,Verde,Coupe,Usado,5600,4
42008,Gasolina,Ford,F150,Limited,2020,Rojo,Compacto,Usado,14400,4
79667,Gasolina,BMW,X5,Standard,2010,Rojo,Sedan,Usado,5600,2
66136,Gasolina,Nissan,Altima,Touring,2018,Gris,Coupe,Usado,11200,2
42998,Gasolina,BMW,X5,Touring,2010,Verde,Sedan,Usado,8000,2
145317,Hibrido,Nissan,Altima,Deluxe,2014,Negro,SUV,Usado,17472,4
23074,Electrico,BMW,X5,Deluxe,2017,Azul,Camioneta,Usado,31200,4
35300,Gasolina,BMW,X5,Deluxe,2010,Gris,SUV,Usado,10400,2
268271,Gas,Hyundai,Elantra,Sport,2006,Verde,Camioneta,Usado,6188,4
79882,Gasolina,Ford,F150,Touring,2012,Rojo,SUV,Usado,7280,2
184606,Hibrido,Honda,Civic,Touring,2000,Azul,Coupe,Usado,6720,2
269146,Gasolina,Nissan,Altima,Sport,2004,Blanco,SUV,Usado,7280,2
236300,Gasolina,Toyota,Corolla,Touring,2017,Negro,Sedan,Usado,11200,4
249442,Gas,Hyundai,Elantra,Standard,2003,Blanco,Sedan,Usado,4760,2
186201,Electrico,BMW,X5,Touring,2000,Blanco,Camioneta,Usado,10920,6
4232,Hibrido,Nissan,Altima,Standard,2000,Azul,Camioneta,Usado,16224,4
70771,Gasolina,BMW,X5,Touring,2007,Blanco,Camioneta,Usado,7280,2
192311,GLP,Ford,F150,Sport,2018,Rojo,Coupe,Usado,11200,2
156679,Electrico,BMW,X5,Sport,2009,Rojo,Coupe,Usado,8400,2
292119,Gasolina,Chevrolet,Cruze,Deluxe,2007,Rojo,Sedan,Usado,5600,4
192814,GLP,Chevrolet,Cruze,Sport,2013,Gris,SUV,Usado,7280,2
81417,Gasolina,Chevrolet,Cruze,Deluxe,2002,Negro,Sedan,Usado,5600,4
93354,Gasolina,Honda,Civic,Sport,2006,Verde,Sedan,Usado,5600,5
164028,Gasolina,Ford,F150,Limited,2005,Rojo,Compacto,Usado,5040,4
135687,Electrico,BMW,X5,Standard,2022,Gris,Camioneta,Usado,26208,2
197713,Gas,Hyundai,Elantra,Limited,2006,Blanco,Sedan,Usado,4760,2
209282,Hibrido,Toyota,Corolla,Standard,2004,Verde,Camioneta,Usado,8736,4
284305,Gas,Hyundai,Elantra,Touring,2002,Azul,Sedan,Usado,4760,2
142827,Hibrido,Honda,Civic,Limited,2021,Rojo,SUV,Usado,17472,4
75696,Hibrido,Toyota,Corolla,Deluxe,2011,Verde,Camioneta,Usado,8736,4
103497,Hibrido,Toyota,Corolla,Limited,2014,Rojo,Coupe,Usado,13440,4
288214,Gas,Hyundai,Elantra,Deluxe,2018,Negro,Compacto,Usado,8568,2
234127,Hibrido,Nissan,Altima,Standard,2014,Gris,Coupe,Usado,13440,2
287208,Gasolina,Honda,Civic,Touring,2004,Gris,Coupe,Usado,5600,4
36940,Gasolina,Chevrolet,Cruze,Limited,2014,Verde,Sedan,Usado,16000,2
275941,GLP,Chevrolet,Cruze,Sport,2014,Azul,SUV,Usado,14560,4
95157,Hibrido,Nissan,Altima,Standard,2000,Verde,Coupe,Usado,6720,4
75614,GLP,Chevrolet,Cruze,Sport,2003,Negro,SUV,Usado,7280,2
276131,Gasolina,Hyundai,Elantra,Touring,2024,Verde,Compacto,Usado,12096,2
293146,Gasolina,Chevrolet,Cruze,Touring,2023,Blanco,Camioneta,Usado,17472,2
66630,GLP,Ford,F150,Limited,2002,Negro,Compacto,Usado,5040,2
26745,Hibrido,Nissan,Altima,Limited,2016,Gris,SUV,Usado,24960,2
160670,GLP,Chevrolet,Cruze,Limited,2015,Rojo,Coupe,Usado,11200,4
234090,Gas,Hyundai,Elantra,Touring,2018,Verde,Coupe,Usado,9520,2
263323,Gasolina,Ford,F150,Deluxe,2023,Gris,Coupe,Usado,13440,4
77186,Hibrido,Nissan,Altima,Deluxe,2014,Azul,Compacto,Usado,12096,2
31937,Gasolina,Hyundai,Elantra,Standard,2003,Negro,SUV,Usado,10400,4
240143,Hibrido,Honda,Civic,Limited,2001,Azul,SUV,Usado,8736,4
156520,GLP,Ford,F150,Limited,2000,Blanco,Coupe,Usado,5600,1
140423,Electrico,BMW,X5,Sport,2021,Gris,Camioneta,Usado,21840,4
231025,Hibrido,Honda,Civic,Limited,2018,Verde,Sedan,Usado,13440,4
